company-phone-number,created-date,violation_date,consumer-city,consumer-state,consumer-area-code,subject,recorded-message-or-robocall,violation-date
7372905426,22/9/2023 00:03,21/9/2023 18:38,,Texas,254.0,No Subject Provided,N,
5137342492,22/9/2023 00:02,21/9/2023 18:40,Cincinnati,Ohio,513.0,Dropped call or no message,Y,
2543430821,22/9/2023 00:05,21/9/2023 20:43,,Texas,254.0,No Subject Provided,N,
7345689915,22/9/2023 00:14,20/9/2023 14:55,Hyattsville,Maryland,301.0,Other,Y,
4434099654,22/9/2023 00:15,21/9/2023 16:07,Hyattsville,Maryland,301.0,Other,Y,
9738349704,22/9/2023 00:16,21/9/2023 20:35,,New Jersey,973.0,No Subject Provided,Y,
2815089,22/9/2023 00:20,21/9/2023 14:51,San Jose,California,408.0,Other,Y,
5176243750,22/9/2023 00:25,21/9/2023 04:49,Pleasant Ridge,Michigan,734.0,Other,Y,
5398669562,22/9/2023 00:26,21/9/2023 17:36,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
9472374793,22/9/2023 00:27,21/9/2023 16:39,Pleasant Ridge,Michigan,734.0,Other,Y,
4702148124,22/9/2023 00:27,21/9/2023 23:09,,Georgia,470.0,"Calls pretending to be government, businesses, or family and friends",N,
3125837625,22/9/2023 00:00,21/9/2023 18:02,,Illinois,847.0,No Subject Provided,Y,
4808566684,22/9/2023 00:27,21/9/2023 09:39,Phoenix,Arizona,623.0,Dropped call or no message,Y,
6026916817,22/9/2023 00:29,21/9/2023 09:13,Phoenix,Arizona,623.0,Dropped call or no message,Y,
2092882553,22/9/2023 00:32,21/9/2023 11:32,STOCKTON,California,209.0,Dropped call or no message,Y,
8774021030,22/9/2023 00:36,21/9/2023 17:15,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
6057557218,22/9/2023 00:36,21/9/2023 10:19,RAPID CITY,South Dakota,605.0,Dropped call or no message,N,
9182013805,22/9/2023 00:37,21/9/2023 12:53,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
4054587841,22/9/2023 00:37,21/9/2023 12:00,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
5803963608,22/9/2023 00:38,21/9/2023 08:37,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
9184780734,22/9/2023 00:39,21/9/2023 08:19,Oklahoma City,Oklahoma,405.0,Dropped call or no message,Y,
4057835798,22/9/2023 00:40,20/9/2023 16:23,Oklahoma City,Oklahoma,405.0,Other,Y,
4055923719,22/9/2023 00:41,20/9/2023 15:09,Oklahoma City,Oklahoma,405.0,Other,Y,
9802474101,22/9/2023 00:42,11/9/2023 08:24,,North Carolina,980.0,"Energy, solar,  & utilities",Y,
2127895279,22/9/2023 00:42,11/9/2023 17:13,,New York,212.0,Other,Y,
4053578993,22/9/2023 00:42,20/9/2023 14:09,Oklahoma City,Oklahoma,405.0,Other,Y,
4057304682,22/9/2023 00:44,20/9/2023 14:04,Oklahoma City,Oklahoma,405.0,Other,Y,
4055947795,22/9/2023 00:45,20/9/2023 10:26,Oklahoma City,Oklahoma,405.0,Other,Y,
2128238500,22/9/2023 00:45,8/9/2023 00:00,,New York,212.0,Dropped call or no message,Y,
7542414710,22/9/2023 00:46,22/9/2023 14:19,,California,323.0,No Subject Provided,Y,
2127849129,22/9/2023 00:46,7/9/2023 12:16,,New York,212.0,Dropped call or no message,Y,
4058256961,22/9/2023 00:47,20/9/2023 10:06,Oklahoma City,Oklahoma,405.0,Other,Y,
7542414710,22/9/2023 00:47,22/9/2023 14:19,,California,213.0,No Subject Provided,Y,
8085949726,22/9/2023 00:48,21/9/2023 00:00,,Hawaii,808.0,No Subject Provided,N,
4055771676,22/9/2023 00:48,19/9/2023 13:24,Oklahoma City,Oklahoma,405.0,Other,Y,
8124726402,22/9/2023 00:49,19/9/2023 12:51,Oklahoma City,Oklahoma,405.0,Other,Y,
8475856683,22/9/2023 00:49,21/9/2023 13:18,,Illinois,847.0,Dropped call or no message,Y,
4052787893,22/9/2023 00:50,19/9/2023 11:43,Oklahoma City,Oklahoma,405.0,Other,Y,
4052405220,22/9/2023 00:51,19/9/2023 09:22,Oklahoma City,Oklahoma,405.0,Other,Y,
9252316230,22/9/2023 00:54,21/9/2023 10:27,,California,925.0,Dropped call or no message,Y,
2137722045,22/9/2023 00:54,22/9/2023 16:39,,California,323.0,No Subject Provided,Y,
6619274338,22/9/2023 00:55,21/9/2023 14:00,,California,925.0,Dropped call or no message,Y,
2137722045,22/9/2023 00:55,22/9/2023 16:39,,California,213.0,No Subject Provided,Y,
7853778816,22/9/2023 01:08,21/9/2023 16:58,Russell,Kansas,785.0,Medical  & prescriptions,Y,
8176121855,22/9/2023 01:09,21/9/2023 17:06,,California,925.0,Other,Y,
3163304739,22/9/2023 01:10,21/9/2023 00:00,Russell,Kansas,785.0,"Reducing your debt (credit cards, mortgage, student loans)",Y,
8016760589,22/9/2023 01:10,21/9/2023 08:49,salt lake city,Utah,801.0,Other,N,
8335740734,22/9/2023 01:13,21/9/2023 08:44,salt lake city,Utah,801.0,Other,N,
8332898631,22/9/2023 01:14,21/9/2023 10:37,salt lake city,Utah,801.0,Other,N,
8332898631,22/9/2023 01:15,21/9/2023 13:42,salt lake city,Utah,801.0,Other,N,
8332898631,22/9/2023 01:16,21/9/2023 15:42,salt lake city,Utah,801.0,Other,N,
9088290335,22/9/2023 01:17,21/9/2023 15:35,salt lake city,Utah,801.0,Other,N,
8016628390,22/9/2023 01:18,21/9/2023 15:44,salt lake city,Utah,801.0,Other,N,
2094428741,22/9/2023 01:24,21/9/2023 17:08,Walnut Creek,California,925.0,Dropped call or no message,Y,
8588103122,22/9/2023 01:25,21/9/2023 11:05,Walnut Creek,California,925.0,Dropped call or no message,Y,
4153041238,22/9/2023 01:26,21/9/2023 08:28,Walnut Creek,California,925.0,Dropped call or no message,Y,
4172442639,22/9/2023 01:26,17/9/2023 09:35,Richmond,California,415.0,Other,Y,
8009423767,22/9/2023 01:26,21/9/2023 21:38,Hayward,California,510.0,Other,Y,
3152079028,22/9/2023 01:29,18/9/2023 09:02,,California,951.0,"Calls pretending to be government, businesses, or family and friends",N,
9709844304,22/9/2023 01:38,21/9/2023 15:36,Fairbanks,Alaska,907.0,Dropped call or no message,Y,
2176162133,22/9/2023 01:40,19/9/2023 17:24,,New York,914.0,"Reducing your debt (credit cards, mortgage, student loans)",Y,
8439690467,22/9/2023 01:43,21/9/2023 12:44,,New York,914.0,"Reducing your debt (credit cards, mortgage, student loans)",Y,
6314008916,22/9/2023 01:44,21/9/2023 13:57,East Patchogue,New York,631.0,Other,Y,
8775766020,22/9/2023 01:45,21/9/2023 13:58,East Patchogue,New York,631.0,Warranties  & protection plans,Y,
6318255245,22/9/2023 01:50,21/9/2023 15:19,East Patchogue,New York,631.0,Other,Y,
9199251240,22/9/2023 01:52,21/9/2023 06:10,Vestavia Hills,Alabama,205.0,"Calls pretending to be government, businesses, or family and friends",N,
9199356567,22/9/2023 01:53,21/9/2023 06:10,Vestavia Hills,Alabama,205.0,"Calls pretending to be government, businesses, or family and friends",N,
7865190113,22/9/2023 01:53,21/9/2023 09:23,Los Angeles,California,714.0,"Calls pretending to be government, businesses, or family and friends",Y,
9515031583,22/9/2023 01:54,20/9/2023 04:58,,California,951.0,Other,N,
6314008916,22/9/2023 01:56,21/9/2023 15:30,East Patchogue,New York,631.0,Other,Y,
2162791574,22/9/2023 01:58,21/9/2023 17:55,East Patchogue,New York,631.0,"Reducing your debt (credit cards, mortgage, student loans)",Y,
5418874025,22/9/2023 02:05,21/9/2023 17:32,Beaverton,Oregon,503.0,"Reducing your debt (credit cards, mortgage, student loans)",Y,
9515030193,22/9/2023 02:07,21/9/2023 16:51,,California,951.0,Other,N,
8203480596,22/9/2023 02:09,21/9/2023 15:42,La Canada,California,818.0,Other,N,
6579332322,22/9/2023 02:10,21/9/2023 16:20,La Canada,California,818.0,Other,N,
5719988548,22/9/2023 02:10,21/9/2023 18:42,,Virginia,703.0,Other,Y,
9496911654,22/9/2023 02:12,21/9/2023 14:24,La Canada,California,818.0,Other,N,
2135460638,22/9/2023 02:12,21/9/2023 11:39,La Canada,California,818.0,Other,N,
2176668870,22/9/2023 02:14,20/9/2023 11:39,La Canada,California,818.0,Other,N,
6625790373,22/9/2023 02:14,21/9/2023 13:18,Redding,California,530.0,Other,N,
9516295937,22/9/2023 02:14,20/9/2023 09:43,La Canada,California,818.0,Other,N,
9166187075,22/9/2023 02:15,21/9/2023 16:16,Redding,California,530.0,Other,N,
6182283998,22/9/2023 02:16,21/9/2023 20:29,Elpaso,Illinois,217.0,No Subject Provided,Y,
5122291550,22/9/2023 02:18,21/9/2023 11:06,grand prairie,Texas,737.0,Other,N,
4142967792,22/9/2023 02:20,21/9/2023 15:10,grand prairie,Texas,737.0,Other,N,
8052914355,22/9/2023 02:38,19/9/2023 12:00,Lewisville,Texas,470.0,Other,N,
6089499690,22/9/2023 02:43,21/9/2023 20:37,Elm Grove,Wisconsin,414.0,Other,Y,
5512128143,22/9/2023 03:00,22/9/2023 02:04,Jersey City,New Jersey,201.0,Other,N,
8773076413,22/9/2023 03:01,21/9/2023 19:54,Dallas,Texas,972.0,"Lotteries, prizes  & sweepstakes",Y,
5138134907,22/9/2023 03:37,21/9/2023 15:35,Naperville,Illinois,773.0,"Reducing your debt (credit cards, mortgage, student loans)",N,
0,22/9/2023 03:40,1/1/2020 12:00,knoxville,Tennessee,865.0,"Calls pretending to be government, businesses, or family and friends",Y,
5044147524,22/9/2023 03:51,21/9/2023 19:00,Baton Rouge,Louisiana,225.0,Other,N,
9255921948,22/9/2023 03:51,19/9/2023 11:58,,California,909.0,"Energy, solar,  & utilities",Y,
4406726164,22/9/2023 04:07,21/9/2023 19:45,ashland,Ohio,330.0,Other,N,
9.11172E+11,22/9/2023 04:14,22/9/2023 09:00,,Colorado,983.0,Other,Y,
5143125397,22/9/2023 05:01,22/9/2023 04:53,Boston,Massachusetts,857.0,"Calls pretending to be government, businesses, or family and friends",N,
6055780691,22/9/2023 05:28,21/9/2023 18:01,,New Jersey,609.0,No Subject Provided,N,
8632560239,22/9/2023 05:41,21/9/2023 12:44,NY,New York,718.0,Other,N,
7753676065,22/9/2023 05:42,20/9/2023 19:46,NY,New York,718.0,Vacation  & timeshares,N,
7276251089,22/9/2023 05:43,21/9/2023 16:17,NY,New York,718.0,Other,N,
3146270483,22/9/2023 05:45,21/9/2023 10:52,Phoenixville,Pennsylvania,610.0,Other,Y,
3522303392,22/9/2023 05:46,21/9/2023 13:48,NY,New York,718.0,Other,N,
6105268793,22/9/2023 05:47,20/9/2023 18:02,Phoenixville,Pennsylvania,610.0,Other,Y,
2089438775,22/9/2023 05:47,21/9/2023 00:00,NY,New York,718.0,Medical  & prescriptions,N,
6109214762,22/9/2023 05:47,20/9/2023 11:16,Phoenixville,Pennsylvania,610.0,Other,Y,
4842181265,22/9/2023 05:48,14/9/2023 12:57,Phoenixville,Pennsylvania,610.0,Other,Y,
2678418883,22/9/2023 05:49,13/9/2023 09:13,Phoenixville,Pennsylvania,610.0,Other,Y,
2678418802,22/9/2023 05:50,12/9/2023 00:00,Phoenixville,Pennsylvania,610.0,Other,Y,
6109354043,22/9/2023 05:51,11/9/2023 16:04,Phoenixville,Pennsylvania,610.0,Other,Y,
6109183096,22/9/2023 05:52,11/9/2023 13:48,Phoenixville,Pennsylvania,610.0,Other,Y,
6109352482,22/9/2023 05:53,8/9/2023 15:20,Phoenixville,Pennsylvania,610.0,Other,Y,
8002460875,22/9/2023 05:53,8/9/2023 14:44,Phoenixville,Pennsylvania,610.0,Other,Y,
6109351374,22/9/2023 05:54,8/9/2023 13:14,Phoenixville,Pennsylvania,610.0,Other,Y,
6107357475,22/9/2023 05:55,8/9/2023 11:39,Phoenixville,Pennsylvania,610.0,Other,Y,
6109357486,22/9/2023 05:55,8/9/2023 10:54,Phoenixville,Pennsylvania,610.0,Other,Y,
4842758418,22/9/2023 05:56,8/9/2023 10:12,Phoenixville,Pennsylvania,610.0,Other,Y,
4848730671,22/9/2023 05:57,7/9/2023 17:26,Phoenixville,Pennsylvania,610.0,Other,Y,
2678418812,22/9/2023 05:57,5/9/2023 18:30,Phoenixville,Pennsylvania,610.0,Other,Y,
6109424729,22/9/2023 05:58,5/9/2023 14:25,Phoenixville,Pennsylvania,610.0,Other,Y,
6106326254,22/9/2023 05:59,2/9/2023 14:10,Phoenixville,Pennsylvania,610.0,Other,Y,
2059361403,22/9/2023 06:00,1/9/2023 12:33,Phoenixville,Pennsylvania,610.0,Other,Y,
6109356304,22/9/2023 06:00,1/9/2023 09:28,Phoenixville,Pennsylvania,610.0,Other,Y,
6109359375,22/9/2023 06:01,30/8/2023 15:17,Phoenixville,Pennsylvania,610.0,Other,Y,
6109359207,22/9/2023 06:02,30/8/2023 12:10,Phoenixville,Pennsylvania,610.0,Other,Y,
8143168712,22/9/2023 06:03,29/8/2023 10:13,Phoenixville,Pennsylvania,610.0,Other,Y,
6107830509,22/9/2023 06:03,28/8/2023 11:42,Phoenixville,Pennsylvania,610.0,Other,Y,
6104595445,22/9/2023 06:04,22/8/2023 09:51,Phoenixville,Pennsylvania,610.0,Other,Y,
6105491334,22/9/2023 06:05,20/8/2023 18:02,Phoenixville,Pennsylvania,610.0,Other,Y,
6105571759,22/9/2023 06:06,19/8/2023 11:18,Phoenixville,Pennsylvania,610.0,Other,Y,
8446991320,22/9/2023 06:06,21/9/2023 13:42,Youngsville,Louisiana,337.0,"Calls pretending to be government, businesses, or family and friends",N,
6105959154,22/9/2023 06:07,18/8/2023 17:14,Phoenixville,Pennsylvania,610.0,Other,Y,
2152674382,22/9/2023 06:07,21/9/2023 11:46,Croydon,Pennsylvania,215.0,Dropped call or no message,N,
6105573514,22/9/2023 06:08,18/8/2023 10:02,Phoenixville,Pennsylvania,610.0,Other,Y,
2152674952,22/9/2023 06:08,20/9/2023 09:42,Croydon,Pennsylvania,215.0,Dropped call or no message,N,
6106348480,22/9/2023 06:08,17/8/2023 15:54,Phoenixville,Pennsylvania,610.0,Other,Y,
6108431272,22/9/2023 06:09,20/9/2023 09:07,Croydon,Pennsylvania,215.0,Dropped call or no message,N,
2152674930,22/9/2023 06:11,19/9/2023 09:19,Croydon,Pennsylvania,215.0,Dropped call or no message,Y,
7702022298,22/9/2023 06:13,9/9/2023 16:44,,Pennsylvania,215.0,Other,N,
6143807883,22/9/2023 06:18,21/9/2023 00:00,Columbus,Ohio,614.0,Dropped call or no message,N,
6145918568,22/9/2023 06:19,21/9/2023 00:00,Columbus,Ohio,614.0,Dropped call or no message,N,
6143807919,22/9/2023 06:19,21/9/2023 00:00,Columbus,Ohio,614.0,Dropped call or no message,N,
9344510147,22/9/2023 06:22,21/9/2023 15:54,Loudonville,New York,518.0,"Calls pretending to be government, businesses, or family and friends",N,
2544284885,22/9/2023 06:23,21/9/2023 20:09,Tampa,Florida,254.0,"Energy, solar,  & utilities",Y,
7242188752,22/9/2023 06:28,12/9/2023 16:00,Normalville,Pennsylvania,724.0,Other,N,
3163341060,22/9/2023 06:35,21/9/2023 16:09,WARRENSBURG,Missouri,660.0,Other,N,
8403006647,22/9/2023 06:40,21/9/2023 17:11,,California,562.0,No Subject Provided,N,
4244610522,22/9/2023 06:42,21/9/2023 15:21,,California,562.0,No Subject Provided,N,
